UserName,Date,"Star rating","Review Comment",Link
AD2266,-,5,"I hate ordering over the phone so this app is perfect for me",
prissykrissyy,-,5,"Delivery will never be the same! Love it!!",
"Holla baq",-,5,"I have been using grub hub for over a year and absolutely love it.",
SC202,-,5,"I just ordered dinner for two in 45 seconds",
"Kill babe",-,5,"I love this service",
dbecker33,-,5,"I'm doing this so it stops bothering me. It works. What more could I need?",
Achart,-,5,"Food is generally good",
eakenzua58,-,1,"I've tried with multiple credit cards, different accounts, and countless other solutions but the app refuses to let me order. Idk why the few restaurants that use them continue since I have to turn to more reliable alternatives like DoorDash or postmates to get food",
"Adriano Romagnolo",-,5,"It works pretty well, at least in Philly area.",
AlexNYR20,-,5,"The app is fantastic, it's really easy to use.",
Rainey521,-,5,"Grub Hub really helps me in the clutch times, when I have my small grandchildren.",
"Gaiman Fan",-,1,"Don't update to the latest! It forgets everything... where you live, your favorite restaurants! The new UI is truly awful. Confusing and seemingly never tested. A total waste of time.",
SoCalCyn,-,1,"Worst ordering process. Finally just gave up.",
Ediddy6,-,5,"The actual service is awesome obviously but there was an issue with a restaurant I frequently order from and a customer rep fixed the issue and gave me a coupon code.",
Haydizzle534,-,5,"Great idea! Love that you guys are in suburb areas now. Not just major cities! You will definitely get lots of orders and tips from this household! Thanks for expanding!",
Xooxa,-,4,"Since I've been ill, this app has been a dream come true!  Drivers are awesome!  Gave 3 stars because there needs to be more restaurant variety.",
SeanRu,-,5,"Grub Hub has been such an incredible app!  My family and I love the restaurant choices, and the speed of delivery is also amazing.  It's a great app!",
Tamby3,-,5,"One of the greatest apps I've ever used.",
Gabsssssssss,-,5,"Fast and easy app. Precise and useful.",
"🍧 Jolene 🍧",-,5,"Grubhub is the only food app that's available in my area and it's absolutely amazing. Great restaurants and customer service!",
"Truly Vee",-,1,"The driver carried my food In his car for 37 minutes while making other deliveries. The food wasn't kept in any type of heat containing bag. Very disappointed. Probably won't use again since there is no customer service link to resolve issues such as these.",
Mikemattdsa,-,5,"Great and easy",
Grrrrrrrrrrrrr745,-,5,"They bring you food when you're hungover",
craziiswimmer,-,5,"Title speaks for itself",
Stinesong,-,5,"So far I've used Grubhub 3 times and every time the food has been correct, hot, and delivered earlier than estimated.",
ashbuhbee,-,5,"Love it",
DietcokeheadSD,-,5,"I've used this app A LOT this summer. It's been ridiculously hot so I don't want to cook. This is a better alternative to cereal for dinner!",
Pattay090,-,4,"If I use GH for local restaurants within a mile of my house, I get exactly what I order & the food is consistently good & on time.   But whoever we try a newer place located farther away, it's hit or miss.  I will say that GH's refund policy is absolutely spot on & customer service is friendly & spot on.  Thanks GH!!! 😎",
woonbae,-,5,"faster and less problems with overall ordering",
