UserName,Date,"Star rating","Review Comment",Link
"  Kate Ogadako  ","27 March 2017 ",Rat,"   This app is fine. We had no problem creating a profile.  However, I hope J.A.M.B reads these comments... The J.A.M.B. DVD does not open. There's an error message that shows a Qt platform for ""windows"" was not used to compile the programme.  I hope these DVDs can be recalled or fixed via J.A.M.B. support platform. Thanks.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRmRuRmdiUng1LWpua241VmZuRGJwUTJDWFItTTNKdGZFSlVBSkZrczZKS3lub0pJLWc2LXZNM2h0cTltaGo4OEhYMGVLZnFxZUtza3EzeXdv
"  Emmanuel Olaniyi  ","24 March 2017 ",,"   I was hoping I'd give a good review buh then...this was a waste of data, from one developer to another, y'all need to get your shii together. This is embarrassing, even more that it's taking this much time to fix...I'm wondering though, if a simple app can be this bad,  how will the CBT be, we should expect flaws then. Anyways, let me be hopeful  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPSEdjaUlBNE13WWlFODVoYzVnYVVkMzFiMWFjNEJqMkV6VDE3SjlaTEhKb1JmWWlzdFhEbGF3TjVxb0ZuX01RUjVQeXFPX2lZRS1SSkNJVjJz
"  salifu seidu  ","28 March 2017 ",,"   This is app is nothing to write home about. I believe jamb have all it takes to obtain the best app with all the money they have made all this Years.  U can't even go beyond the loading phase... If they can't give a good app they should scrap it rather than causing jambite and their guidance emotionally.  Thanks for your rapid response,  I have updated your app two times in 2 days and I was only able to go beyond the first page once... Nothing has really changed, I took time to read other members comment and I can say without reservation that the app is a complete failure if this issue of network failure is not addressed.  Thank you.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPSEJQMjRqdHo3ZjBrUFR0TWJ4d2NPTU5XUDl5UFEtUUpwRmNIc3NLOFpWdV9tTF95YUZjTzJZZGRac1l3aXJnMVV3OUFCcFFUYnU0OFFlNnBV
"  Deji Adeoye  ","21 March 2017 ",Rat,"   Very bad. To create account is a big problem. The feedback was 'Not successful, account not created, check your network' even when the strength of my 4G network was excellent. JAMB should give this app issue an urgent attention especially because of the time sensitivity of the registration.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPR3UzR09hWmUwVXV0Y3hXRVFZdktrdVgtSl9naWgybG9HYTdpeVc1X1JyS2pvR2hGYk1Ja0ZET3VRRDNXUmFoU3FCUzl6M21TYmlaSlZMbkdF
"  Ahlgh-hascen Ace  ","24 March 2017 ",Rat,"   Very bad…. Very bad app..This application is a waste of memory space. Please fix the network issue and since jamb is optioning for tech only the body should make it possible for one to completely register at home.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRUY4SldhQnJRUlUyajlmUmFmYnEzZjV1cm1zVTJobmdnVmVENUY3RFgxXzZSS3czVmI0c3Nrei1ELWhtMUNlNlBRZk1oZU1zSzVqTXlub3Fv
"  Chidinma Adibe Precious  ","27 March 2017 ",Rat,"   Please jamb should try and fix this app. It is not connecting, it kept saying ""error in connection, check your network connection"" even when my network strength is effective. And for those asking about pin issues, please endeavour to go the aforementioned banks by jamb and buy your pin which is very essential in the application filling.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPSEpYZHZkSW5vMFRMT19yUlRveTZDc3J4ajVMRGI3eExSaHctak9zRkc5cmg0WGxENkhxT3RXSS1vUEdIUG9uYWZ6bDd6SmtPVVRGaU1jTDZZ
"  Kate Ogadako  ","24 March 2017 ",Rat,"   Jamb, you guys are idiots, slackers, nonsensical. I mean, I was 5 hours standing in line to register and I was asked to come back. Now to download the app ad register now is another stupidity you guys have portrayed of your self, I mean I am 16 and I can build an app twice better all from my room in 12 hours. Why are you people ruining our educational system. All of you at jamb are sick and really need psychiatric attention ASAP.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRVI2SG5HYk9xdURqY3V0SDdIek84aUU4SHFyUktpZkNPWlZDN25BZjc2cjVtRDFTS0k5UE81ckZLU2pZSHc4MjVZanh5ZkVIR2IybkEtYjUw
"  Emmanuel Olaniyi  ","14 April 2017 ",Rat,"   If you are using MTN it will be showing Network error but if you use Etisalat The app will open.  After purchasing pin,  it is still showing wrong pin.  Please do something about it.  The registration process especially the payment process need to be reviewed.  Let web pay online platform be used for easier payment via ATM  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPSEpna1B3VE81dU94ZUM1ZURuSjdhVWhCOUdNdUE5T0hSZEhuallKdmVfWlh0Y21MdWtvMW5ibGQwWXpzcWQ0dXNHSmtGWjRXdGdUQi1scFBj
"  salifu seidu  ","27 March 2017 ",Rat,"   The app is just non-functional.  I have been trying to connect for some time, to no avail.  I understand the need to be innovative and receive accolades,  but at the same time,  it must be done the right way, not the 'Nigerian '  way which thrives on mediocrity.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPR0h2ZDdzUy1WS0p3S05VbGcyUmk5cHcwS3FPbkFFQWZxM1JMX0Q3am1sTHdLYzltM2ZLd1hrbVlIdWxYaS0tSVdmRDJKcW9jZDh0ZlFjdlBj
"Sidmach Technologies ","4 April 2017 ",Rat,"   This app is nonsense. It's a share waste of Data, time, Battery, resources and money. Please take off here. I advise you not to download it.  I give it minus zero star  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPR1dmY3laU2RiUlMwNDZGdEZSLURoelNXU0wtalExM1VfcG93VkdoLXphMHhWNE5FTGtEaDI3d0ozbE9lM2NDV1JJTlR1YkdCemhlbExHQjlz
"  Deji Adeoye  ","5 April 2017 ",Rat,"   If we call all put mouths together and let them know, this year's reg is a total waste of time. CBT centers are filled with over 2000 applicants at a go, this app is suppose to ease it all, but see where we are  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRV9kNkM3U3I4T0drbnZ0MlRmYTVEQjFfNTBIM3Z4NC1uR0dVNzhueHpnRkVZN255WUoxMFhnM1NaTFlvUnpTUUF2c1VkZ29rQS1yOWJJRUJ3
"  Ahlgh-hascen Ace  ","27 March 2017 ",Rat,"   It is the worst app on Google play store what a waste of money and time. Why is it that the Jamb boss so heartless we have a short time to prepare and register for the exam and only for us to find it difficult in the registration process, what happens in the time of exams. We have just a month to do the registration, please let's go back to the former way of registration it's faster and easy going please. We have our right to what we think is good for us. Help us  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPSFhwNW1JWWVWZEZzTE5vQlozOThpaEp2X3B1X1NOWFBXdThKbTNQRURycDg5bkEtQUVHQWZrNHpsOTZjem1PRnVUcms5bGcxdDNQOHJzSE1j
"  Chidinma Adibe Precious  ","24 March 2017 ",Rat,"   Good concept, poor implementation.   - Black font with dark background to write on. Too bad.  - Fails to send confirmation code and there's no mode to resend. Bad Technology.  Fix this and get 5 stars.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPSGtZMWFsdHJpSUlVdmhUZ3BtZDVsZ0FHTXdpbkxCa0VtemJ5aU1KdFgzWGpUTG1lTEZLdEVwc3R3YXdDMTY4OFRMTU9HTE0zaXQ0ajNBaFFn
"  asrafan nigeria  ","31 March 2017 ",Rat,"   "" Unable to access network resource please try again​ "" thats what it keeps displaying. This app was updated not less than four times but it's still a gabbage. If Sidmach Tech are technologically incapable why not try other companies to ease the pain of millions of stranded applicants? Very shameful indeed.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRVJ0ZkphT3FQclVNWmt2eldiMmtPZmJON0dnVHM0VktlVWZEQkN4M1B3Z2lSTGg5R0dnWWhOdTZEc2wwNl9DekFhMEE5T1NMMWI4LURSelZZ
"  Chime Chinonso Simon  ","24 March 2017 ",Rat,"   This is a very useless and meaningless App. Is this what oloyede use 5 months to prepared for? I am sure if oloyede himself write jamb examination he will fail. The App is not working all in the name of blocking cyber cafes now you are even blocking your own progress on jamb. I learnt they say oloyede is a very stubborn man and he doesn't listen to advise. It is better to use offline method which ojerinde. Built and be successful. Just to register jamb candidate are traveling far from their home spent 4 days in CBT centers yet no success. You want to receive 1.5 million registration within 4 weeks, this is week 2 and you have 250,000 applicants. It means you are already a failure Prof oloyede. Let people generate their pins on Remita. Use offline method for registration. This is my advise to you Mr corruption will fight back. You are just doing jamb differently in a negative way.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPR2IyeXZJYzNRYVZGc0MtTFpSV2NkQ0JOclQtbWpET1hud1pabkNLNlNkclI5dk9TNlNDa19mRE5ESE5ZNmM0UmR6Wmh2WVBHd25Wb1lFbzdZ
"  edyz dennis  ","30 March 2017 ",Rat,"   Good App! It has saved candidates from stress formerly encountered at the CBT centres. Main while the, biometrics capture should be proliferated, decentralized and not restricted to make the registration faster.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRUJ5S2k4RkVSSFAyS0pWOXc3SFl1WXd0all2aUswWHVFcU1qRUdCNkkwenI3Y0phdTV1cDhPN3A2RWkySTQwc2N4OWhyQXZ2VmxiVG15TnFn
"  oforishe success  ","4 April 2017 ",Rat,"   Please jamb should extend the closing date for registration, or maybe they have something else in mind to frustrate young students from having admission into higher institution.  This app is not working. Waste of time and memory  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPR2llQTVHcXN3d2ROMlpGTWppS1g4N2ZkdUNMQnF4LWJ3LWZQRmhXRkpDVWZsNldsckR4LWRVOWhKUDh4WGR1SzNJWjN1aDE0UXBRZEpQRnRj
"  AKINBAMI OLUWATOSIN AKINTUNDE  ","28 March 2017 ",Rat,"   There is something I observed on this application that needs urgent attention. First, one can not access it using Glo data. Secondly, there is always problem during the profile updating at the point of saving, it is always ""Try Again, unable to safe"". If a private person can run an organisation successfully, why having problem with government agency with all the available resources at her disposal. The time frame for the registration need to be reviewed, this application need to be worked on, anything far from this will lead to a total failure. Thanks.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPSGl2N2t2MjAxaHRRMXpCTlpyVEhCbHp1dDBGVEVPelJKeGk2YVNvbXhPQ0hGVVA1eHJTQ0N0d3Y5TlZOeGNrcjBmSkxMNDB1VWVyVVpLWUsw
"  mac luc  ","6 April 2017 ",Rat,"   If ur app is showing Unable to connect... Don't use glo network doesn't  work anymore... Use airtel... Or others.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRzI1VXBMamZwTndnYm5qcTRVYmtpRjNCUWFIOHl3c08wNndwc3RYcVE4T1QycTlGZUstRUVlQnpzQVZMeVZXTzFjclo3NEhjSzdELXlycGNB
"  austin datong  ","25 March 2017 ",Rat,"   Prof.  you have failed from this beginning,  now that it is just registration what about writing? It will be total failure,  fix this things up, ur are not competent at all why fight cyber cafes who will still help to teach candidates from the village how to be conversant with ur useless preparations.  Shame on u...  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPR2NEOXJINUY5YXZCNGVCenZSQ1JsR1NGZDBHT054UUdhdmNkTTRyNWs1Mi02WlFYbE1KWUxYdklfeFB4Tk9HdC1xX1RqdVkzZ2pCMlliRWVB
"  Abdulrahman Chubado  ","2 April 2017 ",Rat,"   If I could give a zero star rating, I would! It just wouldn't connect to the Internet, no matter how great the connection is. Ugh!  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPRlpVdVN3RUpUVmc2QU5MNlZGcXRjZ0lDZF9ZZWdiT3c1MFR6QWlvMEs1REdwTDREWEtQRHZjUFNzelFvZkFMZWQ0YWpMUDdJUlBhMDA0djZv
"  Timothy Oluwatayo  ","10 April 2017 ",Rat,"   The app is practically useless. It does not load, keeps telling me no network. Been trying for over a week nw and no luck. Scrap this, if jamb can't make it better.  Full Review  ",/store/apps/details?id=com.jambregistration1.app&amp;reviewId=Z3A6QU9xcFRPR3BKMTM2MTVzeVhKUXh0b21BemhpQ3l1ZnlMS3lHX21qZlA4MlVaN1V1Y2RDb0NqaFBQZTZCS0VfcEFPeWlnTUxPYnNHMGFJRWRJU1preW5R
